#Results from SampleExperiment.java.  First line is means, second line is standard deviations.
0,-2540.3,2591.8984912393635,2502.3
25,-4498.3,1583.3524244463074,4500.3
50,-3497.1,2418.2887636600485,3501.1
75,-3497.5,2417.64473311435,3501.5
100,-1495.1,2417.9212582528635,1503.1
125,-994.8,2110.3998989133156,1003.8
150,-1996.9,2583.7964939643025,2003.9
175,4.9,1.1972189997378637,6.1
200,-1496.7,2416.8168252200385,1504.7
225,-495.8,1582.2672761999893,505.8
250,-494.7,1582.650522944904,504.7
275,-497.0,1581.8425964678029,507.0
300,-995.2,2110.1888699039873,1004.2
325,-996.4,2109.556256656835,1005.4
350,-995.1,2110.2409262135607,1004.1
375,-996.4,2109.5567833604814,1005.4
400,3.4,3.806427312965386,7.6
425,4.9,3.107338983045711,6.1
450,4.0,2.8674417556808756,7.0
475,5.6,2.5473297566057074,5.4
500,4.4,2.221110833194357,6.6
